Machine Type,MACHINE,Problem Description,Root Cause,Action Taken
General Equipment,WHOLE LINE,Cosmetic wrapping not proper Whole machine,Cosmetic tape wrapping Issue,Side and upper roller adjust And set drop position
Loading System,PCM LOADING,Vacuum problem on left side PCM Picking arm,PCM picking Vacuum not achieved due to use PU material block for Pcm picking,Provide a spring to for picking arm and change PCM holding block
Loading System,CELL LOADING,Conveyor Belt Not Working Conveyer Belt,Motor Pulley Damage and belt out from pulley,Belt remount & Machine Run
General Equipment,PLASMA CLEANING AND VHB PASTING,CCD VHB 2 continuous NG CCD software,CCD software hang,Reteach CCD tool & restart the software then machine run
General Equipment,PLASMA CLEANING AND VHB PASTING,Clean shift 01 (Plasma clean) Alarm not Reset Clean shift 01,Clean shift not home Position,Clear memory of Clean shift 02
Assembly Station,POST-APMT,PPG dismantle probe is stuck Out & stuck Whole machine,Not found yet,Supplier person Manually operate probe
Assembly Station,POST-APMT,VHB plate B-Exist me Alarm Whole machine,ST30 did not take Away the battery,Manually remove battery and initialized machine
Loading System,PCM LOADING,Vacuumed Not achieved to PCM feed arm Turn table,PCM adj. Block alignment disturb,Turn table block alignment
Loading System,PCM LOADING,Feed arm drop pcm on turn table Feeding arm,Correction to FAI 98 PU block Disturb,Doing PU block Alignment done
General Equipment,FUNCTION TESTING-1,Feed tank Chain Offset 1 detection abnormal Whole machine,Feed tank chain one sensor not glow,Remove all parts and initialized machine
General Equipment,FUNCTION TESTING-2,Position 2 lifting cylinder is not on Whole machine,Pack opening mounting open due to bolt broken,Change bolt Remounting cylinder
General Equipment,PLASMA CLEANING AND VHB PASTING,One side Plasma Flame not come Whole machine,RPM low alarm show due to Ceramic Electrode ass. burn,Change ceramic electrode mounting
Loading System,CELL LOADING,Timing belt And pulley broken Conveyer Belt,Friction between Belt and pulley,"Change pulley and belt, alignment done"
Loading System,PCM LOADING,Connector band issue Turn table,PCM location not proper,Alignment set of turn table PCM align block
General Equipment,LEAKAGE TESTING,PC to PLC communication error PLC communication,PLC not communicate to pc,Three Ethernet cable change
General Equipment,ITS SYSTEM,ITS not working whole system,Cell loading machine 3 mover move to its at a time,Remove mover by memory then initialized ITS system
General Equipment,LEAKAGE TESTING,Vacuum issue Testing Chamber,Testing chamber vacuum not ON,"Remove all parts , Vacuum on & Then reinitialized machine"
Assembly Station,POST-APMT,Calibration issue Whole machine,ST-20 Servo axis limit switch problem,Clean servo axis limit switch and reinitialized machine
General Equipment,VHB HEAT PRESSING,X1515 vacuum alarm Whole machine,Cylinder stocking & Vacuum pad flat & damage,Change Cylinder and vacuum pad
Loading System,CELL LOADING,ITS not working ITS system,Cell loading machine 3 mover move to its at a time,Remove mover by manually then initialized ITS system
Loading System,CELL LOADING,BOF 02 cylinder not working Conveyer Belt,Air leakag from BOF 02 cylinder,Change Cylinder
General Equipment,IMAGE CAPTURING,Loading treay fiber Opticel sensor abnormal Tray loading,Fiber sensor damage,Change fiber opticel sensor
General Equipment,PLASMA CLEANING AND VHB PASTING,Driver Mode Alarm Whole machine,Not found yet,Reset and clear memory Sweaper station
Loading System,CELL LOADING,Close cover feeding swipe codev abnormal close cover,Deterioration,Scanner controller power reset & pc restart then m/c initialize after m/c auto runn start
General Equipment,WATER INGRESS TAPE WRAPPING,Tear Clamping Cylinder not working as Cylinder Thread Damage and reed switch malfunctioning Tear Clamping Station,Poor Basic Condition,"The faulty cylinder was replaced with a new one. The connector type was upgraded from a Push-in FCV to a male elbow connector to enhance the cylinder's durability and longevity. Flow control was implemented for the non-moving assembly, and proper wire dressing was achieved using a spiral wrap."
Assembly Station,PRE-APMT,Calibration Issue Calibration Issue,Poor Skill,Training provided for offset File
Assembly Station,POST-APMT,Drive Mode Alarm Drive Mode Alarm,Poor Skill,Jog all cylinders in manual mode and ensure the vacuum control off
General Equipment,PLASMA CLEANING AND VHB PASTING,DD Motor Drive Alarm DD Motor Alarm,Deteriration,Ethernet Cable Changed
General Equipment,VHB HEAT PRESSING,Drive Mode Alarm Communication Error in Drive,Deterioration,Communication Cable Change
General Equipment,LEAKAGE TESTING,M/c stop without any alarm without alarm,Pc softwere hang,Pc softwere restart & whole m/c initiat
General Equipment,LEAKAGE TESTING,Data uploading fail issue PC,Poor basic condition,M/c pc restart & m/c initiat then run
General Equipment,WATER INGRESS TAPE WRAPPING,FAI 91 fail FAI ISSUE,Deterioration,Cosmatic wrapping front 1&2 tape change
General Equipment,LEAKAGE TESTING,PLC & PC communication abnormal PLC,Ethernet cable foulty,PC to PLC communication cable change the m/c & PC power restart
General Equipment,FUNCTION TESTING-1,Drive mode alarm Drive Mode Alarm,Deterioration,Replace communication cable drive to PLC
Loading System,CELL LOADING,Robot not resposd ethernet cable,Pc to robot controller ethernet communication cable foulty,Ethrnet cable change
General Equipment,COSMETIC TAPE WRAPPING,Cosmatic tape wrapping issue FAI ISSUE,Roller dose not go to their wrapping position,Tape provode to hold down presure top cylinder also parameter change of cosmatic wrap
Loading System,PCM LOADING,CCD NG SCAN ISSUE,Poor basic condition,Replace with new one ethernet cable
General Equipment,FUNCTION TESTING-1,ROBOT 3 communication fail ROBOT 3,Deterioration,Robot 3 communication power off & pc restart
Assembly Station,PRE-APMT,At st10 52 side push cylinder sticking continuasly st10,Deterioration,Rail bearing change
General Equipment,VHB HEAT PRESSING,CCD NG CCD,Poor skill,Position adjest for clear image
General Equipment,TAB-Z BENDING AND TAB CUTTING,Cylendr not oprate manulley Cylinder,Deterioration,Plast press cylinder change
General Equipment,VHB HEAT PRESSING,Drive Mode Alarm at vhb m/c Drive Mode Alarm,Poor basic condition,Replace with new one ethernet cable
General Equipment,VHB HEAT PRESSING,WRAPPING ISSUE PULL TAPE,Weak design,Replace with new one wrapping block
General Equipment,VHB HEAT PRESSING,FPC bend at VHB pressing fpc,Cell position shift,Incoming shift servo fpc side clamp tape stick
General Equipment,LEAKAGE TESTING,PLC & PC communication heart beat abnormal PLC,Deterioration,Ethernet cable replace with new one
General Equipment,VHB HEAT PRESSING,Reed switch wire cut reed switch,Poor basic condition,Reed switch change with new one
General Equipment,TAB-Z BENDING AND TAB CUTTING,3 mover free at tab bending M/C mover free,Protective flapper sensor b/w mover & sensor,Protective flapper remove from all mover
Assembly Station,PRE-APMT,St 20 two axix module a-axix +ve limit alarm and m/c stop ST 20,Under observation,Check the +ve limit switch and clean it and initiat the m/c
Welding Machine,WELDING SPOT INSPECTION & BMU TAPE STICKING,BMU tape feeder not working tape feeder,Deterioration,"Feeder input parameter set, before=50, after=60"
Assembly Station,PRE-APMT,ST-20 1-B axis module is atucking module,Deterioration,We change the sensor
Assembly Station,PRE-APMT,ST 20two axsis module 1B axis alarm module,Encoder cable was extra stress with drag chain,Encoder replace with new one
General Equipment,VHB HEAT PRESSING,PCM bending issue FAI 51 fail FAI51,Due to cylinder road leingth short cylinder model ( HCQ-6120),Cylinder replace with (HCQ-8/30)
Assembly Station,PRE-APMT,St 30 axis alarm Axis alarm,Poor oprating condition,Machine initiat and clean guide rail
General Equipment,PLASMA CLEANING AND VHB PASTING,Servo topping-1 vacuum issue vacuum pad,Deterioration,Vacuum pad change
Loading System,CELL LOADING,Fiber sensor not working fiber sensor,Feeding conveyor speed high,Fiber sensor change
General Equipment,PLASMA CLEANING AND VHB PASTING,FPC bend at plasma m/c PFPC BEND,Poor basic condition,Scanning station mounting retight
General Equipment,VHB HEAT PRESSING,M/C stop without any alarm M/C stop without alarm,Weak design,PLC programme modify of vhb plasma cleaning m/c
General Equipment,LEAKAGE TESTING,NG sample showing ok at leakage M/C Leakage meter,VOC meter not calibrated,Voc meter change with calibrated one
General Equipment,COSMETIC TAPE WRAPPING,Cosmatic tape big ear wrapping issue FAI ISSUE,Deterioration,Replace with big ear cylinder new one
General Equipment,COSMETIC TAPE STICKING,Cosmatic tape wrapping issue FAI ISSUE,Deterioration of valve,External shapping lifting cylinder valve change
General Equipment,VHB HEAT PRESSING,Inteke clamp 2 is not on ethernet cable,Deterioration,Ethernet communication cable change B/W drive 17 to 17
General Equipment,LEAKAGE TESTING,M/C stop wiout any alarm Leakage M/C,Week design,Switch off the power & wait 10 min then initiat the M/C
Assembly Station,PRE-APMT,ST 20two axsis 1A limit sensor malfuntioning ST 20,Deterioration,St 20 two - axix module 1A Servo lomit sensor change
Assembly Station,PRE-APMT,Calibration fail Issue at pre apmt Calibration Issue,Poor skill,New calibration file generate in m/c
General Equipment,COSMETIC TAPE WRAPPING,SIDE WRAPPING ISSUE FAI ISSUE,Wrapping failures due to small wing attaching to big wing,Correct done to make wrapping smooth
General Equipment,FUNCTION TESTING-1,Ft tester not going on testing mode tester,Poor basic condition,All tester softwere restart and all tester power on/off
General Equipment,TAB-Z BENDING AND TAB CUTTING,Drive Mode Alarm MOVER FREE at loading m/c,Poor basic condition,M/C INITIAT
General Equipment,LEAKAGE TESTING,Drive Mode Alarm M/C showing serious alarm,Deterioration,Power off then restart
General Equipment,PCM TAB BENDING,Continueus mover free at same station PCM TAB BENDING,Poor Skill,Two ITS sensor change
Loading System,PACK UNLOADING,Drive Mode Alarm AB vacume is not on,Deterioration,Unloading open & cloce push cylinder not on so press then run
Assembly Station,PRE-APMT,FAI 37 NA issue fail FAI ISSUE,Deterioration,Clean the m/c & restart pc done
Loading System,CELL LOADING,Mapping ng continously Mapping NG,Deterioration,Change the trey of cell and run the m/c
General Equipment,VHB HEAT PRESSING,VHB hot press ng part drive alarm VHB tape sticking,Deterioration,Drive eirthernet cable change 40 to41
Assembly Station,POST-APMT,FAI 26 NA issue fail FAI ISSUE,Deterioration,PCM loading put position r2 change 0.79 to .074
Loading System,PCM LOADING,FAI 26 NA issue fail FAI ISSUE,Deterioration,R2 axis 0.74 to 0.69 set
Assembly Station,PRE-APMT,"ST-20 ,1-A axis alarm ST 20",Poor basic condition,"ST-20 ,1-A axis alarm linear scale clean and encoder connector tight done"
General Equipment,WATER INGRESS TAPE STICKING,Belt damege reflux conveyor,Poor basic condition,Reflux conveyor front pully & mover transfer belt change done
General Equipment,FUNCTION TESTING-1,Camera to framwork communication fail ethernet cable,Deterioration,Ethernet cable Change b/w robot 3 camera to PC
Loading System,PCM LOADING,PCM CCD NG LASER WELDING,Poor basic condition,PCM clamp spring change at trun table
Loading System,PCM LOADING,Left side pcm put position shift FAI ISSUE,Ethernet cable Deterioration,In Sunday activity plan will be done to check loosenes & ethernet cable
General Equipment,COSMETIC TAPE WRAPPING,Cosmetic wrapping NG - Left side big ear roller alignment disturb Cosmetic tape wrapping,Left side big ear roller alignment not OK,Left side big ear roller alignment done.
General Equipment,FUNCTION TESTING-1,"Robot-4 not working , robot disconnect FT","Communication break between Robot and CCD Software, causing non-responsiveness",Reconnect Robot 4 power & teach Robot 1 Z-position.
General Equipment,WATER INGRESS TAPE WRAPPING,Glue vacuum issue - Feeder 1 not working properly Glue vaccum feeder,"Feeder guide rail gap preventing CCD from capturing proper image, causing wrong offset to Robot and causing Vacuum Alarm",Feeder guide rail alignment done then CCD capture proper image & correct offset.
General Equipment,COSMETIC TAPE WRAPPING,Cosmatic tape big ear wrapping issue Cosmetic Wrap 3,Big ear Push Cylinder Piston joint broken,Replace big ear cylinder with a new one.
Assembly Station,POST-APMT,LMI Instrument not Responding Alarm indication on HMI Post APMT,The communication fault occurred due to a malfunction in the LMI instrument cable.,"Power Reset ,cable changed of LMI instrument and calibration done."
Battery Management Unit,BMU Tape Sticking,PLC server abnormal alarm indication on HMI BMU Tape Sticking,The communication failure was caused by the natural deterioration of the Ethernet cables used for PLC to PC communication.,"The PLC to Ethernet hub communication cables was replaced, followed by restarting the PC and re-initializing the machine."
General Equipment,PLASMA CLEANING AND VHB PASTING,Drive mode alarm occurred in the VHB machine VHB,The issue wasn't recognized quickly because of inadequate troubleshooting SOP and insufficient experience.,Frame losses of drive were reset using PLC Twincat software.
General Equipment,ITS SYSTEM,Mover got free at Cell Loading M/C ITS,"The ITS software was set to a power value of 1 during machine installation, which was high for proper operation.",Initialize the ITS software and adjust the magnetic field from 1 to 0.7 by the iTS Design Engineer.
Assembly Station,POST-APMT,ST 30 Axis Alarm Post APMT,Axis limit sensor wire break due to improper wire routing,Sensor changed new one with properly wire dressing
Assembly Station,POST-APMT,Calibration issue Post APMT,Due to glue found on PPG.,Clean all machine & PPG sensor.
General Equipment,ITS SYSTEM,ITS not working. Tab bending,3 mover free at same time on station no. 58,2 ITS sensor change of tab bending on station no. 58.
General Equipment,PLASMA CLEANING AND VHB PASTING,VHB Station Scan ng issue VHB Station,Scan NG comes due to CCD software hang,CCD software hang so restart the software.
General Equipment,PLASMA CLEANING AND VHB PASTING,Plasma Station not work VHB,Due to Belt broken of plasma station,Change the plasma station belt.
Assembly Station,POST-APMT,FAI 51 NA issue Post APMT,D-drive got full due to which software malfunctioning,Drive old data Delete.
General Equipment,PLASMA CLEANING AND VHB PASTING,Pull tape wrapping NG VHB Station,Water Ingress tape taken in front side,Put position offset change from software.
Assembly Station,PRE-APMT,ST20 Alarm Pre APMT,Two axis +ve limit sensor dirty,All part remove and machine initilize.
Assembly Station,PRE-APMT,ST20 Alarm two axis module positive limit alarm Pre APMT,Two axis +ve limit sensor dirty,All parts remove then st-20 axis linear scale sensor clean done & M/C initialize.
Assembly Station,PRE-APMT,The ST 20 1A axis positive limit alarm was triggered. Pre APMT,Due to the Encoder misalignment with the linear sensor strip scratch were generated with the time.,"The linear strip sensor is changed, and the machine initialization was completed."
Loading System,CELL LOADING,BOF Reback upload is not ON issue Cell loading,Cylinder clamp loose,Cylinder clamp tight done.
General Equipment,FUNCTION TESTING-1,Camera to PC communication fail Function Test Station,The Ethernet cable malfunctioned due to stretching in the cable.,The Camera Ethernet cable replaced between the robot 3 camera and the PC .
General Equipment,ITS SYSTEM,ITS Issue cosmetic tape,Mover free at cosmetic sticking,Mover manualy power on by ITS software.
Loading System,PCM LOADING,Turn table clamp not work & CCD NG PCM Loading,Turn Table clamp found broken,Replaced with new one as previous one is of peak now new one is of Aluminium to avoid further breakage
General Equipment,IMAGE CAPTURING,Part position wrong. Image capturing,CCD edge not detect properly & give wronge offset to servo.,Re-Teach the edge & servo.
Loading System,PCM LOADING,"Left side PCM put position shift, resulting FAI 110 NG PCM Loading","The drive mode alarm was triggered in the machine from PLC to Hub, which resulted in data loss.",PCM put position parameter was changed from 9.10 to 8.10 to correct the left-side PCM shifting.
General Equipment,PLASMA CLEANING AND VHB PASTING,"FAI 78,79 NG issue occuring at Post APMT Machine VHB machine",The camera internal lens had play (looseness) after being opened and inspected.,"The Camera Lens was replaced, and the Camera offset parameter was adjusted as per FAI 78, 79 in VHB Machine."
General Equipment,PLASMA CLEANING AND VHB PASTING,Drive Mode alarm in VHB machine VHB mchine,The Ethernet cables used for communication were faulty.,The communication cables between Drive no. 21 to 22 was replaced.
General Equipment,FUNCTION TESTING-1,M/C PLC all I/O getting off in running time and losing power during operation. FT Machine,The SMPS unit was faulty and unable to supply stable 24V power to the PLC I/O.,Replaced the SMPS with a new one.
General Equipment,IMAGE CAPTURING,Part Mispalce at Unloading Tray Position Image Capturing,Tray picking vaccum pad NG,Tray picking vaccum pad change done
General Equipment,LEAKAGE TESTING,Vacuum Out time Alarm on machine Leakage machine,"The seal of the pump was damaged, which caused the inability to form a proper vacuum.",Vacuum pump was changed.
General Equipment,LEAKAGE TESTING,Frequent Drive alarms Leakage machine,"The surrounding temperature at that location was not monitore digitally and had risen above normal operating condition, causing operational issues.",Ambient surrounding temperature decreased to 23⁰ C
General Equipment,PLASMA CLEANING AND VHB PASTING,Control get OFF of VHB Heat Press Machine VHB Machine,"The SMPS was faulty, and its congested location increased repair time.","The faulty SMPS was replaced with a new one, relocated to improve MTTR, and a lamp was installed for better visibility."
General Equipment,LEAKAGE TESTING,Vacuum alarm at Robot 1 & Robot 2 Leakage machine,"The Solenoid valve had deteriorated, which led to irregular vacuum generation.",Replaced the Solenoid Valve and added two Venturi systems to improve and stabilize the vacuum formation.
Loading System,PACK UNLOADING,Pick roll - 1 Clamp not off . Pack Unloading,Pick roll - 1 Clamp cylinder stuck during operation,Pick roll - 1 Clamp cylinder change done
General Equipment,PLASMA CLEANING AND VHB PASTING,Plasma Motor Cleaning Rotation Issue VHB M/C,The controller card was faulty due to internal circuit failure.,The Plasma Controller Card was replaced.
General Equipment,PLASMA CLEANING AND VHB PASTING,White dot marks observed on the edge of the pack during the plasma. Plasma M/C,Motor running mode in plasma controller was real time due to it air & plasma are released together.,"The motor running mode of the plasma controller was changed from real time to Keep Rotating mode to ensure the motor remains in rotation mode, eliminating the white dot issue."
General Equipment,PLASMA CLEANING AND VHB PASTING,Water Contact Angle (WCA) test failure in Plasma Unit 1. Plasma M/C,"Deterioration of internal parts of the plasma unit-1 head such as nozzle, electrode & ceramic block.",Replaced the Plasma Unit 1 head to restore proper function.
Assembly Station,PRE-APMT,Calibration fail issue. Pre Apmt,The original file got corrupted due to incorrect operation during the calibration process.,A new calibration file was generated and uploaded by Design Engineer
General Equipment,LEAKAGE TESTING,Device is initializing alarm on machine. Leakage m/c,Robot not communicate with PLC.,Machine and controller power Off and ON. Initialization was completed after communication with robot.
General Equipment,LEAKAGE TESTING,Serious Alarm Leakage Testing M/C,"Communication failure occurred between drive (i.e., drive 2 to 3, and 6 to 7).",The new type of good quality Ethernet communication cable changed.
General Equipment,PLASMA CLEANING AND VHB PASTING,Topping 1 Vacuum Alarm VHB M/C,"The vacuum cup had a cut mark, which indicated wear and damage, causing vacuum failure.",The damaged vacuum cup was replaced immediately with a new one.
Loading System,PCM LOADING,PCM NG in left side shift / Drive Alarms PCM Loading,Weak Design/PLC to ethernet hub communication break then drive alarm came.,Change the parameter of Robot PCM put position (9.10 to 8.10)
Assembly Station,PRE-APMT,Device status notice: St20_2A axis alarm Pre APMT,"The servo drive generated an alarm R27, indicating a fault within the drive system.","The faulty servo drive was replaced, and the machine was initialized to resolve the St20_2A axis alarm issue"
Assembly Station,PRE-APMT,Bali error and barcode upload error. Pre APMT M/C,"The Easy ID was in software trigger mode, which was not the intended setting.",Trigger source setting change from software to Line 1
General Equipment,PLASMA CLEANING AND VHB PASTING,Intake Out updown cylinder mounting broken VHB Plasma Cleaning,"The machine stopped without an alarm, which resulted in the memory of the sweeper station being cleared. As a result, the sweeper station hit the intake cylinder.",New mounting block created and replaced.
General Equipment,Tab Cutting M/C,Mover free and not detect on tab cutting machine and not show in ITS software. Tab cutting m/c,ITS sensor faulty at tab bending M/C,Change the sensor then initialized ITS
General Equipment,PLASMA CLEANING AND VHB PASTING,Vaccum issue VHB,Filter Glass Broken of vaccum filter which was leading to insufficient vacuum formation.,Vacuum Filter Changed
General Equipment,IMAGE CAPTURING,Part not picking by Machine whole machine,Sensor malfunctioning due to which it is not allowing arm to pick part,Sensor changed new one with properly wire dressing
General Equipment,FT M/C,CCD continuously Ng whole machine,Check the robot connected with software.,If robot disconnected with software then restart the robot controller.
General Equipment,Image Capturing,If FDR Failure issue face in machine whole machine,1. Check Ethernet Cable losses between machine to MAC,1. Change Ethernet Cable from MAC to Machine
General Equipment,Leakage Machine,If Scanner Continuoulsy scanning and scanning is OK but not sending Data to software whole machine,1. Check Barcode Length OK or NOT in Software,1. If Barcode Length not OK then change it.
Unknown,Unknown,If Process Defeat Data is not sending to BIS whole machine,1. Check BIS Communication.dll file is updated one or not,1. Change BIS Communication.dll file in bot Software Location i.e; leakage and DCS.
General Equipment,ALL M/C,Power / Control get OFF of Machine whole machine,1. Check whether SMPS is ON or NOT,1. If not ON check input Power OK or NOT. 2. If Input Power OK then change SMPS
General Equipment,Common,Servo motor Position Alarm whole machine,1. Limit Sensor faulty 2. Servo motor coupling damage 3. Limit sensor power supply failure 4. Dust inside the sensor,1. Change the sensor 2. Change the coupling 3. Check the input power supply of sensor 4. Clean the Sensor
General Equipment,Common,Vacuum Alarm whole machine,1. Vacuum venturi faulty 2. Pipe leakage 3. Vacuum Pad faulty. 4. Solenoid valve faulty 5. Pressure Switch faulty 6. Air pressure low 7. Dust inside the venturi 8. Product faulty,1. Change the vacuum venturi 2. Change the air pipe 3. Change the Vacuum Pad 4. Change the Solenoid valve 5. Change the pressure switch 6. Check Input pressure 7. Clean the venture 8. Check the product surface
General Equipment,Common,Cylinder not in origin position whole machine,1. Cylinder leakage 2. Cylinder piston rod open 3. Flow control faulty 4. Air supply not ok 5. Reed switch faulty 6. Solenoid valve faulty 7. Solenoid coil faulty 8. Stopper Loose,1. Change the cylinder 2. Change the cylinder 3. Change the Flow control 4. Check input Pressure 5. Change the reed switch 6. Change the solenoid valve 7. Change the solenoid coil 8. Stopper tight
General Equipment,Common,Drive mode Alarm whole machine,1. Drive Power supply failure 2. Communication Cable faulty 3. Ethernet port dusty 4. Motor over load,1. Check drive input power supply 2. Change the Communication cable 3. Clean the Ethernet port. 4. Change the motor
General Equipment,Common,Machine Control OFF whole machine,1. 220 V AC supply failure 2. 24 V DC supply shorting in field 3. Main supply connector faulty/Carbonize 4. SMPS faulty/Fan not working,1.Check the Main MCB 2. Check the field wiring 3.Check and replaced the connector 4. Change the SMPS
General Equipment,Plasma M/C,Plasma not coming whole machine,1. Plasma rotation assy. Belt broken 2. Plasma station electrode faulty 3. Plasma signal is not coming 4. Controller faulty,1. Changed the belt. 2. Change the Electrode 3. Check the wiring 4. Change the Plasma controller
General Equipment,Common,Servo Motor Change whole machine,1. Station physical position change,1. Servo calibration to be done
General Equipment,Common,Servo battery Alarm E731 whole machine,Battery Voltage is Low < 3.5 Volt,Battery need to be replaced
